IP Address,Occurrences
200.186.28.178,1
122.99.31.121,1
10.216.240.115,46
50.241.144.146,1
54.156.8.221,1
181.161.20.75,1
133.170.225.230,1
154.1.207.132,1
135.97.38.155,1
10.206.172.28,40
10.68.49.1,44
10.139.71.2,46
149.125.143.53,1
83.38.61.171,1
181.198.48.58,1
10.106.66.4,33
10.30.144.32,29
10.231.244.25,30
10.156.233.107,1
158.131.40.61,1
205.220.158.93,1
167.98.156.118,1
187.89.122.38,1
10.46.99.121,31
251.205.210.76,1
10.118.183.247,43
96.251.2.129,1
10.9.212.61,45
100.85.84.93,1
10.37.104.161,36
10.22.174.100,53
10.81.94.254,46
212.70.249.235,1
151.117.168.32,1
10.233.28.108,1
10.16.40.36,37
10.158.161.150,34
10.108.86.196,46
10.243.154.140,34
152.170.70.103,1
10.116.38.34,38
198.26.0.155,1
10.77.4.96,39
184.231.240.175,1
112.15.122.0,1
223.46.192.25,1
10.120.148.77,45
99.25.135.29,1
118.57.99.88,1
10.80.203.211,39
119.187.190.49,1
137.235.87.75,1
10.158.68.55,34
185.20.130.119,1
27.196.67.237,1
10.34.53.209,42
135.65.215.189,1
100.133.253.76,1
244.77.130.121,1
135.190.87.130,1
91.146.206.250,1
146.194.175.109,1
212.175.116.159,1
10.179.141.98,37
10.41.95.82,36
10.80.101.171,33
102.48.115.48,1
70.227.48.164,1
10.61.174.217,42
171.174.82.95,1
48.85.6.154,1
10.155.124.119,37
194.192.218.9,1
10.186.216.80,46
196.223.86.70,1
160.225.160.123,1
186.124.209.116,1
10.236.119.43,27
147.44.115.100,1
232.250.165.199,1
10.143.137.15,36
10.94.16.132,47
182.7.51.153,1
129.167.131.210,1
255.59.227.104,1
211.6.85.205,1
236.250.33.13,1
83.51.202.55,1
197.224.44.99,1
129.202.47.226,1
156.155.17.171,1
114.163.104.180,1
154.73.159.208,1
84.35.95.110,1
176.78.92.173,1
234.164.35.45,1
93.192.37.230,1
16.255.65.42,1
220.205.120.210,1
10.157.192.12,51
155.187.121.17,1
92.162.46.146,1
253.186.90.80,1
70.163.78.49,1
106.56.157.168,1
181.108.222.248,1
10.231.16.201,39
10.138.186.240,40
10.52.118.219,31
10.44.119.82,39
10.202.25.136,41
220.248.214.208,1
180.26.219.60,1
62.162.245.223,1
10.66.92.1,36
214.36.144.65,1
10.127.153.182,35
113.169.20.169,1
10.187.163.230,27
86.15.14.48,1
242.129.90.147,1
10.9.125.23,35
10.92.31.125,34
126.128.192.95,1
110.105.217.84,1
81.136.125.67,1
221.75.150.56,1
229.104.59.44,1
10.212.40.129,43
168.5.199.19,1
218.53.0.227,1
212.168.0.225,1
55.14.147.183,1
10.86.51.234,42
10.117.97.196,37
77.227.69.83,1
235.200.101.149,1
92.153.96.77,1
51.30.78.173,1
26.43.152.6,1
10.200.235.145,52
36.6.69.197,1
104.157.12.160,1
113.229.112.47,1
85.205.26.18,1
218.133.253.210,1
84.255.208.87,1
212.39.117.60,1
231.193.17.87,1
245.12.74.225,1
15.225.185.173,1
10.77.141.47,25
10.31.229.148,34
251.75.19.240,1
118.42.234.217,1
192.170.194.196,1
10.174.168.86,36
10.56.218.153,37
191.116.175.240,1
13.103.43.18,1
19.111.61.80,1
134.52.60.226,1
134.47.120.121,1
10.94.47.137,36
86.87.27.240,1
14.100.50.83,1
10.102.144.44,40
77.50.69.105,1
81.233.152.102,1
182.128.39.193,1
135.88.230.108,1
173.130.188.218,1
152.234.238.244,1
165.208.101.45,1
111.139.8.141,1
91.228.8.4,1
24.66.37.20,1
173.106.192.131,1
196.195.153.166,1
111.134.160.125,1
135.7.221.56,1
166.82.171.179,1
251.116.217.109,1
59.245.227.161,1
237.165.210.176,1
119.56.163.110,1
208.127.37.59,1
135.38.118.213,1
115.150.197.107,1
200.255.228.131,1
169.124.103.77,1
233.118.196.200,1
81.109.42.124,1
243.113.100.20,1
52.43.3.20,1
45.32.198.97,1
10.45.52.13,39
110.140.96.39,1
151.145.245.6,1
98.118.117.16,1
105.160.183.4,1
102.37.169.138,1
211.113.61.71,1
27.26.255.227,1
141.116.65.57,1
10.47.128.62,39
130.131.72.94,1
10.194.151.51,36
183.23.198.137,1
39.135.33.1,1
63.125.109.30,1
248.70.85.204,1
156.237.27.62,1
10.27.183.42,44
229.5.167.253,1
10.199.223.119,38
249.167.26.177,1
55.69.154.250,1
104.165.227.225,1
10.86.74.159,35
53.217.172.117,1
183.64.0.202,1
253.6.23.97,1
194.241.116.55,1
244.229.238.15,1
23.208.103.94,1
10.68.13.167,31
210.147.39.24,1
10.228.140.190,39
10.123.242.12,44
10.242.64.253,32
243.135.56.172,1
201.198.184.85,1
160.21.124.210,1
32.50.13.157,1
243.135.87.35,1
69.133.65.181,1
208.26.86.120,1
242.34.251.248,1
87.107.183.100,1
95.95.169.214,1
141.42.96.123,1
142.150.238.112,1
12.203.240.180,1
113.202.120.30,1
170.227.94.120,1
191.53.66.169,1
20.37.21.46,1
10.84.123.152,31
10.66.32.106,37
29.173.231.85,1
240.201.229.115,1
73.232.216.128,1
45.216.129.188,1
10.72.73.158,33
149.71.240.166,1
167.249.43.142,1
34.155.37.153,1
86.249.255.122,1
98.213.188.169,1
189.202.86.54,1
96.238.39.138,1
10.8.141.37,39
23.205.162.211,1
10.93.250.184,47
130.159.182.164,1
77.71.26.162,1
231.161.208.19,1
28.118.27.103,1
84.181.178.111,1
208.127.172.160,1
10.171.105.215,33
22.89.184.110,1
59.199.156.100,1
10.95.206.213,33
10.216.66.144,32
67.101.250.15,1
161.242.60.23,1
236.196.74.88,1
54.8.123.45,1
64.144.244.225,1
193.238.38.105,1
246.15.172.121,1
178.90.251.33,1
35.36.24.184,1
56.52.85.151,1
10.5.248.5,27
148.251.132.137,1
130.66.200.48,1
210.241.29.37,1
152.17.146.189,1
10.129.231.17,31
172.168.184.247,1
205.143.99.23,1
10.50.108.12,57
189.63.129.99,1
112.58.36.116,1
239.203.93.147,1
116.14.125.231,1
45.88.26.66,1
247.88.77.103,1
168.237.174.202,1
140.36.134.126,1
137.75.170.54,1
244.206.28.220,1
125.124.58.200,1
219.118.243.126,1
215.228.55.213,1
208.169.51.99,1
10.250.112.204,39
97.184.87.122,1
87.37.222.140,1
10.168.87.191,33
10.32.208.216,29
201.216.231.123,1
236.97.204.107,1
232.179.70.21,1
254.247.222.11,1
185.11.213.242,1
193.166.26.216,1
73.86.114.152,1
215.16.4.14,1
181.121.49.164,1
225.82.82.121,1
152.89.254.71,1
164.10.194.7,1
172.254.26.231,1
62.233.204.11,1
10.184.123.155,32
64.38.23.8,1
76.17.66.103,1
10.197.196.173,36
155.225.240.109,1
10.24.169.162,34
10.206.74.43,35
10.83.4.235,32
133.132.53.201,1
10.7.18.234,33
13.198.3.56,1
130.129.67.29,1
10.253.176.3,38
10.134.45.53,41
237.167.159.60,1
184.118.191.161,1
10.196.247.184,34
10.148.224.212,43
151.176.150.151,1
10.147.30.159,44
101.103.46.27,1
37.24.223.90,1
10.189.224.200,29
220.140.249.231,1
224.8.130.175,1
108.206.225.82,1
194.181.232.231,1
10.225.33.89,26
214.66.172.90,1
175.202.76.82,1
254.153.76.40,1
130.103.53.2,1
33.72.33.246,1
10.23.16.231,29
23.216.20.107,1
119.250.69.115,1
171.123.241.227,1
12.82.85.174,1
102.188.87.60,1
207.65.128.16,1
94.222.74.121,1
18.151.93.198,1
116.198.22.155,1
150.188.19.158,1
174.33.45.251,1
10.160.203.230,39
246.64.16.9,1
154.32.225.180,1
174.230.205.2,1
53.121.136.27,1
30.50.213.56,1
226.203.146.164,1
92.117.130.62,1
185.84.108.158,1
107.17.57.162,1
106.96.94.12,1
151.121.84.188,1
194.228.49.147,1
103.9.30.8,1
115.44.220.86,1
153.147.146.228,1
144.106.133.101,1
106.238.71.96,1
209.29.46.132,1
72.7.148.22,1
199.83.237.163,1
115.119.10.30,1
12.194.246.122,1
91.187.42.64,1
76.209.202.66,1
36.248.92.48,1
74.238.241.241,1
55.91.98.113,1
141.247.132.126,1
148.90.110.169,1
17.246.108.155,1
45.124.187.218,1
101.199.112.138,1
118.23.244.165,1
43.8.150.137,1
24.68.172.76,1
102.203.100.73,1
157.60.57.251,1
251.198.171.2,1
12.239.213.42,1
94.31.74.44,1
168.161.217.128,1
88.220.63.92,1
178.214.106.189,1
34.228.201.9,1
112.8.229.151,1
135.35.37.47,1
19.175.152.236,1
217.235.25.158,1
156.137.221.97,1
113.36.106.236,1
109.77.48.171,1
122.21.254.242,1
183.73.21.48,1
231.184.166.56,1
173.152.200.214,1
10.61.158.74,24
22.193.177.179,1
166.212.42.170,1
37.187.180.234,1
56.80.250.147,1
246.253.249.2,1
83.199.188.158,1
157.92.188.244,1
82.198.185.116,1
55.64.238.119,1
28.93.60.118,1
20.1.231.239,1
165.179.68.178,1
111.229.38.27,1
107.50.238.207,1
133.244.48.25,1
219.104.183.36,1
118.161.13.193,1
203.71.83.20,1
200.159.64.188,1
196.194.31.250,1
36.1.62.24,1
157.180.9.159,1
26.10.222.150,1
23.60.2.166,1
121.161.4.242,1
198.162.144.29,1
10.230.207.25,25
10.154.40.186,33
159.130.74.129,1
101.138.106.99,1
200.128.109.18,1
10.105.4.180,32
51.72.39.120,1
163.245.33.154,1
127.17.6.35,1
219.26.223.99,1
122.103.124.226,1
10.8.81.109,30
18.147.71.231,1
53.50.109.182,1
174.84.165.24,1
116.7.169.161,1
173.108.42.110,1
94.168.15.162,1
49.66.167.57,1
147.237.84.121,1
74.119.198.134,1
208.4.230.197,1
215.138.109.201,1
173.11.7.179,1
105.189.117.17,1
248.112.221.181,1
53.79.115.211,1
163.104.36.153,1
67.49.245.5,1
219.31.165.0,1
251.252.251.75,1
83.236.1.232,1
129.72.10.106,1
182.254.204.63,1
77.71.178.177,1
216.187.180.37,1
67.222.31.217,1
33.69.90.112,1
13.133.19.9,1
226.139.245.239,1
10.94.78.135,34
52.200.66.129,1
209.110.56.115,1
237.100.156.231,1
228.67.43.75,1
177.63.202.98,1
106.241.108.19,1
51.230.17.172,1
145.143.4.1,1
152.137.170.146,1
144.120.53.98,1
13.160.111.40,1
235.75.164.183,1
165.65.169.66,1
182.54.236.229,1
146.214.24.153,1
63.28.25.92,1
70.225.239.137,1
125.206.124.13,1
59.7.179.81,1
203.198.84.65,1
109.44.119.109,1
208.138.210.18,1
108.235.190.186,1
25.65.107.59,1
10.146.219.195,33
208.222.140.131,1
194.48.17.244,1
96.243.167.36,1
217.97.254.128,1
151.131.253.223,1
228.207.194.42,1
133.152.254.121,1
67.9.29.195,1
196.164.57.248,1
132.157.35.129,1
150.214.190.176,1
24.84.255.127,1
127.169.52.110,1
23.147.148.147,1
223.151.133.222,1
100.173.21.205,1
10.190.19.132,28
168.238.61.178,1
199.249.150.161,1
162.156.75.250,1
51.249.84.41,1
247.5.3.104,1
80.108.150.222,1
160.231.88.48,1
52.90.204.138,1
247.191.160.1,1
10.210.215.50,43
127.154.232.154,1
172.7.109.55,1
249.226.48.227,1
10.106.165.29,35
246.85.96.27,1
177.94.14.36,1
15.93.199.190,1
128.207.224.53,1
10.64.117.110,36
56.216.80.165,1
249.248.192.204,1
31.39.60.96,1
86.25.62.124,1
205.19.32.59,1
69.168.165.216,1
133.247.199.189,1
145.7.238.180,1
211.150.45.1,1
180.236.115.175,1
135.249.73.222,1
224.10.139.54,1
221.66.60.183,1
73.5.192.94,1
143.184.196.131,1
10.135.60.145,41
215.223.11.224,1
69.159.4.137,1
46.123.196.162,1
144.89.57.146,1
158.147.41.244,1
250.40.114.135,1
147.103.203.137,1
130.91.136.251,1
140.181.10.138,1
32.222.80.149,1
165.12.195.192,1
173.207.87.107,1
177.66.170.88,1
52.163.130.164,1
71.205.80.243,1
229.84.182.171,1
132.159.198.61,1
212.173.165.111,1
245.161.14.100,1
10.158.118.170,41
40.181.138.245,1
34.213.125.1,1
113.188.85.130,1
186.205.17.142,1
18.148.157.106,1
57.105.159.31,1
115.154.128.100,1
183.14.9.75,1
10.3.172.187,28
43.129.35.62,1
10.28.4.139,28
99.192.70.164,1
10.154.2.184,38
10.233.12.253,32
125.223.54.43,1
235.184.241.174,1
162.69.27.226,1
79.215.25.118,1
119.76.101.227,1
174.182.190.190,1
47.155.173.76,1
69.45.118.122,1
154.29.64.94,1
33.253.138.26,1
227.136.91.95,1
10.125.165.149,33
155.24.151.253,1
253.155.165.50,1
10.218.114.140,31
21.15.152.234,1
180.248.77.160,1
39.163.32.125,1
150.191.96.194,1
136.186.32.74,1
34.23.210.69,1
155.61.104.212,1
171.209.34.89,1
123.36.174.186,1
124.238.42.169,1
24.85.48.51,1
141.241.174.83,1
86.119.21.206,1
235.86.187.58,1
94.154.222.10,1
66.71.117.32,1
57.195.17.8,1
185.78.46.131,1
25.172.156.93,1
220.51.176.58,1
160.106.209.185,1
71.154.39.29,1
226.215.78.155,1
27.48.10.158,1
39.38.27.178,1
90.211.216.16,1
62.208.207.46,1
209.137.24.38,1
212.234.16.252,1
212.44.23.162,1
76.107.52.129,1
137.27.126.119,1
194.31.99.8,1
86.133.67.181,1
218.161.248.138,1
234.178.35.57,1
35.98.233.235,1
26.87.205.80,1
196.116.134.60,1
250.189.198.122,1
35.150.250.121,1
154.167.194.200,1
53.112.227.131,1
150.64.0.173,1
110.172.35.198,1
146.168.106.63,1
65.245.218.62,1
14.70.58.234,1
168.190.47.68,1
46.215.205.65,1
242.54.152.197,1
199.146.31.22,1
150.197.219.34,1
249.236.169.182,1
199.46.16.118,1
131.61.49.237,1
206.241.64.20,1
76.216.192.30,1
182.24.40.143,1
239.219.138.116,1
220.118.170.208,1
246.38.102.134,1
248.124.192.100,1
20.119.214.13,1
98.45.181.246,1
151.176.79.213,1
57.194.249.170,1
111.123.159.2,1
18.245.3.218,1
67.64.249.248,1
120.62.218.7,1
252.29.47.122,1
109.118.234.39,1
10.231.202.147,29
79.246.22.3,1
152.44.100.225,1
66.154.247.29,1
133.180.101.142,1
124.115.167.78,1
143.77.189.80,1
214.254.74.192,1
24.91.48.129,1
228.31.168.36,1
18.40.13.235,1
251.158.213.248,1
30.45.131.193,1
192.145.154.78,1
106.96.56.35,1
165.22.116.222,1
213.21.74.42,1
221.203.214.22,1
140.149.184.74,1
199.75.199.180,1
199.237.172.207,1
39.187.117.189,1
41.143.219.197,1
43.170.52.127,1
116.209.52.98,1
26.116.80.152,1
94.190.56.35,1
114.173.112.168,1
80.123.244.97,1
66.60.114.212,1
101.16.163.17,1
136.104.112.139,1
66.151.194.131,1
41.205.189.193,1
167.133.174.185,1
127.74.34.62,1
148.171.161.196,1
170.63.109.155,1
220.128.96.40,1
69.116.6.166,1
36.157.9.11,1
86.120.139.168,1
238.166.141.34,1
84.56.89.241,1
182.233.10.145,1
114.191.240.97,1
168.204.41.16,1
94.0.88.131,1
247.224.52.166,1
152.114.103.141,1
216.228.244.93,1
155.169.107.207,1
151.70.66.227,1
171.211.242.190,1
50.217.138.132,1
10.80.125.183,32
33.82.162.191,1
229.97.186.245,1
115.12.176.47,1
218.25.153.210,1
240.147.135.94,1
133.244.26.220,1
18.91.28.151,1
187.207.229.72,1
227.75.110.205,1
123.123.55.117,1
37.97.112.181,1
98.193.106.98,1
92.179.101.214,1
120.58.203.169,1
223.108.205.13,1
10.219.58.31,32
54.153.254.67,1
200.181.187.209,1
227.77.12.40,1
177.46.189.117,1
66.137.163.81,1
12.0.183.130,1
31.62.88.120,1
171.34.165.116,1
212.73.218.146,1
100.93.40.173,1
12.58.176.246,1
182.18.151.80,1
194.237.18.182,1
123.142.81.196,1
243.12.245.131,1
77.66.23.70,1
76.207.157.213,1
175.87.2.12,1
136.204.4.212,1
57.45.100.8,1
244.219.192.18,1
94.139.0.12,1
40.189.116.152,1
224.77.230.67,1
166.75.243.11,1
192.95.208.202,1
150.64.220.219,1
64.11.134.254,1
108.184.41.98,1
192.245.93.149,1
45.115.72.129,1
76.18.225.39,1
22.211.108.184,1
233.228.42.215,1
18.115.240.216,1
18.83.164.68,1
87.156.1.156,1
207.47.222.144,1
163.103.1.236,1
142.254.225.182,1
86.96.68.191,1
247.145.32.168,1
10.46.140.23,33
24.180.91.20,1
224.123.171.9,1
177.142.111.67,1
119.180.20.188,1
81.3.145.109,1
210.148.0.225,1
22.149.114.88,1
139.80.199.214,1
89.74.31.88,1
72.118.54.24,1
243.112.139.129,1
222.89.79.33,1
222.137.39.22,1
226.134.198.214,1
81.151.199.142,1
218.62.95.253,1
35.145.193.108,1
139.56.131.174,1
145.137.230.118,1
85.30.54.68,1
142.239.235.239,1
21.200.20.67,1
244.246.232.107,1
182.171.93.220,1
79.30.196.228,1
74.92.118.69,1
120.137.27.157,1
174.99.149.146,1
112.197.251.114,1
190.26.189.246,1
164.89.150.194,1
145.113.235.193,1
104.73.161.172,1
187.86.188.221,1
195.44.101.72,1
239.17.86.164,1
77.161.37.162,1
255.28.161.223,1
166.97.9.188,1
82.126.138.157,1
39.46.61.34,1
19.230.1.27,1
161.221.132.95,1
69.185.250.141,1
128.54.214.200,1
235.246.104.137,1
135.183.58.42,1
181.82.29.93,1
121.120.60.218,1
58.60.107.190,1
211.184.201.213,1
29.52.130.165,1
110.69.68.80,1
10.250.81.208,29
109.188.157.185,1
116.7.163.167,1
143.164.109.69,1
111.194.193.174,1
206.138.249.151,1
41.17.253.203,1
100.126.178.59,1
147.202.61.252,1
22.247.133.56,1
104.169.79.141,1
15.233.157.200,1
142.162.86.77,1
87.230.173.202,1
132.7.85.252,1
184.204.217.253,1
166.109.62.90,1
209.97.78.39,1
63.85.51.108,1
185.254.136.161,1
207.64.215.212,1
194.203.52.108,1
254.238.16.161,1
178.18.201.26,1
55.35.189.49,1
167.132.140.5,1
38.148.249.65,1
216.125.122.57,1
165.26.199.20,1
192.216.68.150,1
237.18.57.200,1
62.111.210.38,1
14.241.88.252,1
200.19.136.224,1
165.143.63.93,1
107.123.220.52,1
113.211.20.54,1
52.44.108.224,1
139.9.41.142,1
181.101.114.61,1
202.174.119.79,1
10.183.179.110,1
138.87.198.158,1
242.36.181.149,1
247.96.45.163,1
189.44.124.62,1
188.12.144.66,1
248.7.100.79,1
132.44.25.40,1
116.78.87.109,1
188.110.49.26,1
109.200.66.75,1
44.152.209.167,1
222.147.190.150,1
125.236.166.212,1
142.252.158.86,1
231.164.79.171,1
168.150.7.231,1
119.183.207.202,1
80.10.221.100,1
181.112.16.16,1
31.166.30.184,1
204.255.69.6,1
122.86.208.65,1
185.217.22.161,1
193.179.100.64,1
235.113.199.140,1
47.86.207.9,1
98.219.219.137,1
122.13.204.123,1
246.82.144.230,1
157.59.177.46,1
65.53.81.85,1
248.219.116.60,1
40.180.92.43,1
187.75.222.103,1
55.11.78.130,1
12.157.6.194,1
20.123.122.133,1
84.60.87.196,1
214.199.194.95,1
181.235.41.198,1
169.237.78.38,1
106.221.24.189,1
124.202.228.132,1
95.186.52.107,1
69.57.113.74,1
56.188.70.202,1
147.185.129.232,1
150.185.131.230,1
224.67.148.36,1
232.143.139.125,1
92.68.102.113,1
65.121.192.175,1
101.26.3.50,1
165.141.141.109,1
102.8.90.155,1
167.166.17.238,1
56.179.255.49,1
121.175.6.197,1
148.220.239.69,1
68.214.145.134,1
249.81.131.92,1
12.13.46.100,1
111.203.149.121,1
80.181.81.154,1
135.69.241.165,1
235.206.122.102,1
105.231.62.24,1
190.149.154.244,1
114.29.153.244,1
239.16.119.156,1
82.219.145.63,1
211.8.207.50,1
127.110.11.220,1
50.133.226.215,1
172.223.234.245,1
248.174.203.46,1
65.251.136.124,1
223.144.98.152,1
25.218.210.106,1
62.226.33.116,1
235.188.69.98,1
78.46.21.24,1
174.61.143.36,1
39.44.66.221,1
64.172.195.152,1
41.173.24.238,1
250.43.183.85,1
120.125.95.126,1
201.38.201.125,1
208.167.62.177,1
71.98.131.28,1
28.11.199.254,1
53.153.184.238,1
10.124.63.181,33
246.182.50.118,1
254.89.131.178,1
176.164.51.129,1
60.227.81.64,1
78.55.75.130,1
145.171.253.108,1
154.0.35.10,1
154.193.174.135,1
248.89.106.87,1
142.123.125.81,1
69.203.160.16,1
161.72.213.244,1
157.228.243.181,1
120.12.165.160,1
40.38.184.128,1
222.165.94.194,1
239.54.50.155,1
55.82.42.17,1
87.175.104.214,1
17.133.16.94,1
72.187.80.84,1
59.48.117.96,1
154.207.142.224,1
33.99.63.147,1
127.107.7.233,1
171.165.206.40,1
81.186.54.166,1
179.59.54.172,1
248.208.201.185,1
55.161.77.80,1
19.14.117.225,1
122.174.80.140,1
21.106.56.158,1
15.141.140.50,1
55.25.180.90,1
213.241.168.91,1
214.144.128.32,1
28.254.233.3,1
197.118.205.78,1
61.9.99.206,1
240.64.190.100,1
26.196.43.224,1
176.36.194.63,1
110.96.185.53,1
101.140.189.214,1
80.171.205.9,1
238.177.1.1,1
36.217.163.212,1
173.167.224.97,1
36.69.131.1,1
49.73.122.56,1
62.227.23.134,1
203.46.74.94,1
93.93.186.207,1
102.191.119.65,1
88.160.99.134,1
189.33.222.149,1
237.63.184.215,1
12.94.93.196,1
69.108.183.171,1
144.133.102.214,1
116.102.177.1,1
226.13.243.219,1
38.99.8.222,1
141.177.122.94,1
79.111.127.133,1
16.5.140.207,1
137.135.66.101,1
233.81.249.193,1
168.126.231.177,1
94.233.83.164,1
117.123.49.142,1
153.23.231.90,1
103.20.135.158,1
199.147.153.32,1
203.248.64.193,1
189.105.12.141,1
236.53.199.102,1
65.1.165.226,1
254.45.48.15,1
50.161.46.190,1
196.98.208.70,1
181.233.137.44,1
96.51.252.252,1
130.193.145.135,1
212.53.5.110,1
211.137.137.240,1
228.51.88.54,1
150.86.233.233,1
97.244.121.109,1
81.246.202.222,1
129.86.55.184,1
125.182.106.93,1
91.145.194.146,1
170.234.211.90,1
178.212.99.147,1
242.50.6.149,1
17.244.86.76,1
112.187.253.249,1
197.199.169.202,1
47.248.161.194,1
41.178.215.206,1
146.69.201.59,1
195.133.76.209,1
190.241.75.42,1
83.89.171.42,1
149.194.254.215,1
143.190.129.219,1
24.61.6.194,1
147.20.29.182,1
42.59.99.17,1
214.163.10.39,1
239.220.167.26,1
99.193.130.16,1
92.21.176.143,1
236.81.79.103,1
209.1.223.165,1
89.31.225.70,1
250.157.210.111,1
30.250.25.178,1
110.142.189.142,1
53.77.6.41,1
173.115.199.105,1
175.57.226.155,1
38.1.84.217,1
74.146.178.26,1
177.38.173.80,1
50.49.170.76,1
180.40.89.107,1
24.251.19.118,1
245.236.171.110,1
91.182.109.122,1
208.156.64.13,1
229.210.86.179,1
52.170.255.211,1
102.25.62.100,1
95.255.180.161,1
183.129.233.177,1
40.181.191.66,1
153.24.55.68,1
148.37.50.0,1
115.143.196.59,1
14.77.34.74,1
153.20.49.222,1
116.61.33.83,1
51.206.191.33,1
131.186.59.211,1
200.111.161.97,1
252.205.25.22,1
83.248.175.107,1
43.205.82.40,1
159.152.171.95,1
239.163.131.58,1
10.103.124.247,1
103.232.96.222,1
128.197.243.213,1
88.80.27.177,1
144.205.11.26,1
166.81.82.157,1
53.175.255.244,1
133.231.125.141,1
116.152.95.13,1
132.136.143.152,1
187.152.99.148,1
185.153.254.99,1
17.135.131.129,1
226.233.52.101,1
92.125.193.139,1
26.196.242.64,1
151.50.96.93,1
221.227.172.36,1
86.237.160.98,1
88.34.2.28,1
61.47.235.1,1
175.43.136.192,1
20.136.219.101,1
81.208.17.112,1
118.50.171.4,1
92.33.255.117,1
189.129.121.194,1
103.74.208.162,1
51.116.120.40,1
85.151.25.235,1
221.104.65.16,1
182.70.4.229,1
52.237.251.46,1
13.199.168.93,1
188.132.29.212,1
248.24.23.54,1
58.55.50.161,1
13.118.18.29,1
243.32.91.19,1
56.46.128.141,1
254.50.74.176,1
51.81.222.9,1
238.160.242.112,1
37.192.27.115,1
175.234.152.124,1
35.141.195.97,1
95.1.98.31,1
77.5.48.111,1
107.50.58.135,1
236.206.37.33,1
185.55.172.241,1
38.43.91.16,1
33.68.130.139,1
169.165.42.206,1
96.63.223.55,1
63.51.1.105,1
221.254.80.248,1
109.208.94.119,1
204.153.161.2,1
221.190.229.183,1
183.64.69.113,1
119.131.173.222,1
153.234.155.208,1
109.14.225.42,1
48.185.192.101,1
143.23.216.103,1
253.187.91.99,1
64.54.181.73,1
